,Date,Open,High,Low,Close,Volume,per_change
0,2026-01-02,₹182.0,₹183.85,₹181.6,₹182.88,23006840,0.48
1,2026-01-05,₹182.88,₹186.89,₹182.87,₹185.72,30646009,1.55
2,2026-01-06,₹186.0,₹187.85,₹184.47,₹186.2,28514282,0.11
3,2026-01-07,₹186.2,₹186.65,₹182.9,₹183.8,18231588,-1.29
4,2026-01-08,₹185.45,₹185.87,₹179.55,₹180.12,38454951,-2.87
5,2026-01-09,₹179.05,₹181.5,₹177.33,₹178.4,25318701,-0.36
6,2026-01-12,₹178.4,₹183.65,₹177.64,₹183.24,25782267,2.71
7,2026-01-13,₹183.5,₹184.39,₹181.1,₹182.57,19155081,-0.51
8,2026-01-14,₹182.57,₹190.65,₹181.66,₹189.25,55907778,3.66
9,2026-01-15,₹189.25,₹189.25,₹189.25,₹189.25,0,0.0
10,2026-01-16,₹190.05,₹191.0,₹187.31,₹188.21,26028519,-0.97
11,2026-01-19,₹187.1,₹189.44,₹186.8,₹188.27,19709364,0.63
12,2026-01-20,₹188.27,₹190.0,₹183.03,₹183.56,20094927,-2.5
13,2026-01-21,₹183.56,₹185.71,₹180.88,₹184.41,35037961,0.46
14,2026-01-22,₹185.89,₹189.99,₹185.79,₹189.1,35681682,1.73
15,2026-01-23,₹190.5,₹192.4,₹187.27,₹187.61,28492706,-1.52
16,2026-01-27,₹189.67,₹193.14,₹187.72,₹192.28,42314287,1.38
17,2026-01-28,₹193.49,₹195.2,₹192.1,₹193.85,33310718,0.19
18,2026-01-29,₹194.45,₹202.99,₹194.11,₹202.32,60610904,4.05
19,2026-01-30,₹198.55,₹199.0,₹190.63,₹193.13,52262849,-2.73
20,2026-02-02,₹185.38,₹189.0,₹182.55,₹188.51,25594704,1.69
